Donor	Sample	Species	Assay	Consortium	EpiRRRecord
C000S5	ERS150369	human	H3K27ac	Blueprint	IHECRE00000027.1
C0011I	ERS150388	human	H3K27ac	Blueprint	IHECRE00000097.1
C0010K	ERS150390	human	H3K27ac	Blueprint	IHECRE00000096.1
C001UY	ERS150413	human	H3K27ac	Blueprint	IHECRE00000189.1
C00264	ERS158623	human	H3K27ac	Blueprint	IHECRE00000135.1
C004SQ	ERS202663	human	H3K27ac	Blueprint	IHECRE00000101.1
C005PS	ERS206567	human	H3K27ac	Blueprint	IHECRE00000155.1
S000RD	ERS208290	human	H3K27ac	Blueprint	IHECRE00000048.1
S000GZ	ERS208285	human	H3K27ac	Blueprint	IHECRE00002348
S000X1	ERS214693	human	H3K27ac	Blueprint	IHECRE00002587
S0010Q	ERS214696	human	H3K27ac	Blueprint	IHECRE00002711
S0012M	ERS214714	human	H3K27ac	Blueprint	IHECRE00002177
S001C2	ERS214757	human	H3K27ac	Blueprint	IHECRE00002478
S001GV	ERS214788	human	H3K27ac	Blueprint	IHECRE00002518
S001KN	ERS214802	human	H3K27ac	Blueprint	IHECRE00002383
S001NH	ERS222290	human	H3K27ac	Blueprint	IHECRE00002165
S001T5	ERS222326	human	H3K27ac	Blueprint	IHECRE00002247
S001YW	ERS222337	human	H3K27ac	Blueprint	IHECRE00002214
S0020M	ERS222351	human	H3K27ac	Blueprint	IHECRE00002624
S0021K	ERS222362	human	H3K27ac	Blueprint	IHECRE00002451
S0026A	ERS222389	human	H3K27ac	Blueprint	IHECRE00002390
S00278	ERS222398	human	H3K27ac	Blueprint	IHECRE00002244
S00294	ERS222414	human	H3K27ac	Blueprint	IHECRE00002592
S002EV	ERS222428	human	H3K27ac	Blueprint	IHECRE00002715
S002FT	ERS222432	human	H3K27ac	Blueprint	IHECRE00002494
S002KJ	ERS222456	human	H3K27ac	Blueprint	IHECRE00002407
S002MF	ERS222466	human	H3K27ac	Blueprint	IHECRE00002493
S002WW	ERS227613	human	H3K27ac	Blueprint	IHECRE00002257
S002XU	ERS227625	human	H3K27ac	Blueprint	IHECRE00002179
S0031G	ERS227639	human	H3K27ac	Blueprint	IHECRE00002329
S0032E	ERS227648	human	H3K27ac	Blueprint	IHECRE00002512
S00382	ERS227656	human	H3K27ac	Blueprint	IHECRE00002419
S003AZ	ERS227676	human	H3K27ac	Blueprint	IHECRE00002552
S003JH	ERS227700	human	H3K27ac	Blueprint	IHECRE00002547
S003KF	ERS227707	human	H3K27ac	Blueprint	IHECRE00002669
S003MB	ERS227710	human	H3K27ac	Blueprint	IHECRE00002505
S003P5	ERS227717	human	H3K27ac	Blueprint	IHECRE00002375
S003Q3	ERS227728	human	H3K27ac	Blueprint	IHECRE00002606
S003R1	ERS227740	human	H3K27ac	Blueprint	IHECRE00002459
S0041C	ERS257208	human	H3K27ac	Blueprint	IHECRE00002189
S00446	ERS257224	human	H3K27ac	Blueprint	IHECRE00002720
S004M7	ERS257266	human	H3K27ac	Blueprint	IHECRE00002308
S004N5	ERS257275	human	H3K27ac	Blueprint	IHECRE00002301
S005N1	ERS257310	human	H3K27ac	Blueprint	IHECRE00002268
S005VM	ERS257320	human	H3K27ac	Blueprint	IHECRE00002668
S005WK	ERS257330	human	H3K27ac	Blueprint	IHECRE00002534
S00630	ERS257344	human	H3K27ac	Blueprint	IHECRE00002195
S0064Z	ERS257359	human	H3K27ac	Blueprint	IHECRE00002184
S006UK	ERS257373	human	H3K27ac	Blueprint	IHECRE00002393
S006XE	ERS257389	human	H3K27ac	Blueprint	IHECRE00002288
S007CF	ERS257420	human	H3K27ac	Blueprint	IHECRE00002376
S007DD	ERS257433	human	H3K27ac	Blueprint	IHECRE00002166
S007F9	ERS257445	human	H3K27ac	Blueprint	IHECRE00002450
S007G7	ERS257459	human	H3K27ac	Blueprint	IHECRE00002467
S007PQ	ERS257471	human	H3K27ac	Blueprint	IHECRE00002296
S007VE	ERS317213	human	H3K27ac	Blueprint	IHECRE00002430
S007WC	ERS317224	human	H3K27ac	Blueprint	IHECRE00002416
S00D9Y	ERS377486	human	H3K27ac	Blueprint	IHECRE00002536
S00DKC	ERS377510	human	H3K27ac	Blueprint	IHECRE00002323
S00DP2	ERS377525	human	H3K27ac	Blueprint	IHECRE00002542
S00E9U	ERS377548	human	H3K27ac	Blueprint	IHECRE00002312
S00F9Q	ERS391279	human	H3K27ac	Blueprint	IHECRE00002436
S00FPV	ERS422237	human	H3K27ac	Blueprint	IHECRE00002172
S00FUL	ERS422251	human	H3K27ac	Blueprint	IHECRE00002604
S00FVJ	ERS422258	human	H3K27ac	Blueprint	IHECRE00002212
S00G5U	ERS422269	human	H3K27ac	Blueprint	IHECRE00002389
S00GWD	ERS422333	human	H3K27ac	Blueprint	IHECRE00002294
S00HE8	ERS422359	human	H3K27ac	Blueprint	IHECRE00002337
S00HVB	ERS433811	human	H3K27ac	Blueprint	IHECRE00002717
S00J5I	ERS433835	human	H3K27ac	Blueprint	IHECRE00002209
S00JA8	ERS433853	human	H3K27ac	Blueprint	IHECRE00002689
S00JD2	ERS433862	human	H3K27ac	Blueprint	IHECRE00002328
S00JT7	ERS433872	human	H3K27ac	Blueprint	IHECRE00002160
S00JU5	ERS433883	human	H3K27ac	Blueprint	IHECRE00002728
S00JV3	ERS433893	human	H3K27ac	Blueprint	IHECRE00002676
S00K0O	ERS433909	human	H3K27ac	Blueprint	IHECRE00002266
S00KEX	ERS433930	human	H3K27ac	Blueprint	IHECRE00002500
S00KFV	ERS433943	human	H3K27ac	Blueprint	IHECRE00002694
S00KHR	ERS433950	human	H3K27ac	Blueprint	IHECRE00002622
S00KKL	ERS441460	human	H3K27ac	Blueprint	IHECRE00002526
S00M0G	ERS441486	human	H3K27ac	Blueprint	IHECRE00002444
S00M1E	ERS441500	human	H3K27ac	Blueprint	IHECRE00002628
S00M2C	ERS441513	human	H3K27ac	Blueprint	IHECRE00002208
S00M48	ERS441516	human	H3K27ac	Blueprint	IHECRE00002217
S00M80	ERS487321	human	H3K27ac	Blueprint	IHECRE00002681
