Donor	Sample	Species	Assay	Consortium	EpiRR Record
C000S5	ERS150368	human	H3K4me1	Blueprint	IHECRE00000109.1	Metadata
C0010K	ERS150391	human	H3K4me1	Blueprint	IHECRE00000004.1	Metadata
C0011I	ERS150389	human	H3K4me1	Blueprint	IHECRE00000159.1	Metadata
C00184	ERS164468	human	H3K4me1	Blueprint	IHECRE00000095.1	Metadata
C001UY	ERS150411	human	H3K4me1	Blueprint	IHECRE00000094.1	Metadata
C004GD	ERS206477	human	H3K4me1	Blueprint	IHECRE00000124.1	Metadata
C12012	ERS164466	human	H3K4me1	Blueprint	IHECRE00000178.1	Metadata
S0100M	ERS643345	human	H3K4me1	Blueprint	IHECRE00002714	Metadata
S005WK	ERS257329	human	H3K4me1	Blueprint	IHECRE00002336	Metadata
S001GV	ERS214794	human	H3K4me1	Blueprint	IHECRE00002449	Metadata
S001C2	ERS214763	human	H3K4me1	Blueprint	IHECRE00002245	Metadata
S0012M	ERS214709	human	H3K4me1	Blueprint	IHECRE00002285	Metadata
S000X1	ERS214688	human	H3K4me1	Blueprint	IHECRE00002284	Metadata
S001T5	ERS222329	human	H3K4me1	Blueprint	IHECRE00002286	Metadata
S0021K	ERS222359	human	H3K4me1	Blueprint	IHECRE00002438	Metadata
S0020M	ERS222344	human	H3K4me1	Blueprint	IHECRE00002345	Metadata
S001YW	ERS222340	human	H3K4me1	Blueprint	IHECRE00002726	Metadata
S00294	ERS222406	human	H3K4me1	Blueprint	IHECRE00002692	Metadata
S00278	ERS222401	human	H3K4me1	Blueprint	IHECRE00002439	Metadata
S0026A	ERS222394	human	H3K4me1	Blueprint	IHECRE00002577	Metadata
S002KJ	ERS222453	human	H3K4me1	Blueprint	IHECRE00002398	Metadata
S002EV	ERS222424	human	H3K4me1	Blueprint	IHECRE00002183	Metadata
S001NH	ERS222284	human	H3K4me1	Blueprint	IHECRE00002612	Metadata
S0010Q	ERS214703	human	H3K4me1	Blueprint	IHECRE00002230	Metadata
S002MF	ERS222462	human	H3K4me1	Blueprint	IHECRE00002291	Metadata
