Donor	Sample	Species	Assay	Consortium	EpiRR Record
C000S5	ERS150368	human	H3K27ac	Blueprint	IHECRE00000109.1
C0011I	ERS150389	human	H3K27ac	Blueprint	IHECRE00000159.1
C0010K	ERS150391	human	H3K27ac	Blueprint	IHECRE00000004.1
C001UY	ERS150411	human	H3K27ac	Blueprint	IHECRE00000094.1
C12012	ERS164466	human	H3K27ac	Blueprint	IHECRE00000178.1
C00184	ERS164468	human	H3K27ac	Blueprint	IHECRE00000095.1
C004GD	ERS206477	human	H3K27ac	Blueprint	IHECRE00000124.1
S000X1	ERS214688	human	H3K27ac	Blueprint	IHECRE00002284
S0010Q	ERS214703	human	H3K27ac	Blueprint	IHECRE00002230
S0012M	ERS214709	human	H3K27ac	Blueprint	IHECRE00002285
S001C2	ERS214763	human	H3K27ac	Blueprint	IHECRE00002245
S001GV	ERS214794	human	H3K27ac	Blueprint	IHECRE00002449
S001KN	ERS214814	human	H3K27ac	Blueprint	IHECRE00002277
S001NH	ERS222284	human	H3K27ac	Blueprint	IHECRE00002612
S001T5	ERS222329	human	H3K27ac	Blueprint	IHECRE00002286
S001YW	ERS222340	human	H3K27ac	Blueprint	IHECRE00002726
S0020M	ERS222344	human	H3K27ac	Blueprint	IHECRE00002345
S0021K	ERS222359	human	H3K27ac	Blueprint	IHECRE00002438
S0026A	ERS222394	human	H3K27ac	Blueprint	IHECRE00002577
S00278	ERS222401	human	H3K27ac	Blueprint	IHECRE00002439
S00294	ERS222406	human	H3K27ac	Blueprint	IHECRE00002692
S002EV	ERS222424	human	H3K27ac	Blueprint	IHECRE00002183
S002FT	ERS222438	human	H3K27ac	Blueprint	IHECRE00002636
S002KJ	ERS222453	human	H3K27ac	Blueprint	IHECRE00002398
S002MF	ERS222462	human	H3K27ac	Blueprint	IHECRE00002291
S002WW	ERS227619	human	H3K27ac	Blueprint	IHECRE00002422
S002XU	ERS227628	human	H3K27ac	Blueprint	IHECRE00002175
S0031G	ERS227635	human	H3K27ac	Blueprint	IHECRE00002578
S0032E	ERS227646	human	H3K27ac	Blueprint	IHECRE00002200
S00382	ERS227662	human	H3K27ac	Blueprint	IHECRE00002574
S003AZ	ERS227683	human	H3K27ac	Blueprint	IHECRE00002471
S003JH	ERS227694	human	H3K27ac	Blueprint	IHECRE00002453
S003KF	ERS227704	human	H3K27ac	Blueprint	IHECRE00002667
S003MB	ERS227715	human	H3K27ac	Blueprint	IHECRE00002423
S003P5	ERS227719	human	H3K27ac	Blueprint	IHECRE00002607
S003Q3	ERS227730	human	H3K27ac	Blueprint	IHECRE00002274
S003R1	ERS227736	human	H3K27ac	Blueprint	IHECRE00002475
S0041C	ERS257206	human	H3K27ac	Blueprint	IHECRE00002365
S00446	ERS257220	human	H3K27ac	Blueprint	IHECRE00002569
S004M7	ERS257265	human	H3K27ac	Blueprint	IHECRE00002193
S004N5	ERS257274	human	H3K27ac	Blueprint	IHECRE00002269
S005N1	ERS257308	human	H3K27ac	Blueprint	IHECRE00002642
S005VM	ERS257319	human	H3K27ac	Blueprint	IHECRE00002251
S005WK	ERS257329	human	H3K27ac	Blueprint	IHECRE00002336
S00630	ERS257346	human	H3K27ac	Blueprint	IHECRE00002620
S0064Z	ERS257357	human	H3K27ac	Blueprint	IHECRE00002310
S006UK	ERS257369	human	H3K27ac	Blueprint	IHECRE00002192
S006XE	ERS257386	human	H3K27ac	Blueprint	IHECRE00002264
S007CF	ERS257414	human	H3K27ac	Blueprint	IHECRE00002224
S007DD	ERS257434	human	H3K27ac	Blueprint	IHECRE00002650
S007F9	ERS257444	human	H3K27ac	Blueprint	IHECRE00002701
S007G7	ERS257458	human	H3K27ac	Blueprint	IHECRE00002373
S007PQ	ERS257469	human	H3K27ac	Blueprint	IHECRE00002431
S007VE	ERS317216	human	H3K27ac	Blueprint	IHECRE00002445
S007WC	ERS317218	human	H3K27ac	Blueprint	IHECRE00002677
S00D9Y	ERS377479	human	H3K27ac	Blueprint	IHECRE00002721
S00DKC	ERS377518	human	H3K27ac	Blueprint	IHECRE00002315
S00DP2	ERS377522	human	H3K27ac	Blueprint	IHECRE00002593
S00E9U	ERS377544	human	H3K27ac	Blueprint	IHECRE00002429
S00F9Q	ERS391276	human	H3K27ac	Blueprint	IHECRE00002609
S00FK4	ERS422229	human	H3K27ac	Blueprint	IHECRE00002474
S00FPV	ERS422240	human	H3K27ac	Blueprint	IHECRE00002343
S00FUL	ERS422253	human	H3K27ac	Blueprint	IHECRE00002660
S00FVJ	ERS422263	human	H3K27ac	Blueprint	IHECRE00002293
S00G5U	ERS422273	human	H3K27ac	Blueprint	IHECRE00002703
S00G7Q	ERS422274	human	H3K27ac	Blueprint	IHECRE00002369
S00G9M	ERS422287	human	H3K27ac	Blueprint	IHECRE00002482
S00GBI	ERS422300	human	H3K27ac	Blueprint	IHECRE00002548
S00GEC	ERS422309	human	H3K27ac	Blueprint	IHECRE00002254
S00GWD	ERS422330	human	H3K27ac	Blueprint	IHECRE00002216
S00HE8	ERS422356	human	H3K27ac	Blueprint	IHECRE00002314
S00HVB	ERS433817	human	H3K27ac	Blueprint	IHECRE00002231
S00J5I	ERS433831	human	H3K27ac	Blueprint	IHECRE00002222
S00J9A	ERS433851	human	H3K27ac	Blueprint	IHECRE00002384
S00JA8	ERS433857	human	H3K27ac	Blueprint	IHECRE00002639
S00JD2	ERS433867	human	H3K27ac	Blueprint	IHECRE00002442
S00JT7	ERS433875	human	H3K27ac	Blueprint	IHECRE00002515
S00JU5	ERS433887	human	H3K27ac	Blueprint	IHECRE00002507
S00JV3	ERS433896	human	H3K27ac	Blueprint	IHECRE00002617
S00JYY	ERS433902	human	H3K27ac	Blueprint	IHECRE00002454
S00K0O	ERS433914	human	H3K27ac	Blueprint	IHECRE00002546
S00K4G	ERS433922	human	H3K27ac	Blueprint	IHECRE00002234
S00KEX	ERS433938	human	H3K27ac	Blueprint	IHECRE00002653
S00KFV	ERS433940	human	H3K27ac	Blueprint	IHECRE00002571
S00KHR	ERS433957	human	H3K27ac	Blueprint	IHECRE00002525
S00KKL	ERS441455	human	H3K27ac	Blueprint	IHECRE00002259
